date,league,match,kickoff_utc,market,confidence,model_btts,model_o25,match_id,final_score,result
2025-12-17,Switzerland Super League,Young Boys vs Grasshopper,19:30,O2.5,PASS,47,54,7962781,2-6,W
2025-12-17,Switzerland Super League,Luzern vs Basel,19:30,BTTS,STRONG,78,78,7962783,1-2,W
2025-12-17,Switzerland Super League,Zürich vs Lugano,19:30,O2.5,STRONG,58,70,7962785,0-1,L
2025-12-18,Europe UEFA Europa Conference League,AEK Athens vs CS U Craiova,20:00,BTTS,PASS,55,55,8252516,3-2,W
2025-12-18,Europe UEFA Europa Conference League,AZ vs Jagiellonia Białystok,20:00,O2.5,PASS,46,55,8252517,0-0,L
2025-12-18,Europe UEFA Europa Conference League,Mainz 05 vs Samsunspor,20:00,O2.5,MEDIUM,49,62,8252519,2-0,L
2025-12-18,Europe UEFA Europa Conference League,Sparta Praha vs Aberdeen,20:00,O2.5,PASS,43,48,8252521,3-0,W
2025-12-18,Europe UEFA Europa Conference League,AEK Larnaca vs Shkendija,20:00,BTTS,PASS,20,10,8252529,1-0,L
2025-12-18,Europe UEFA Europa Conference League,Lausanne Sport vs Fiorentina,20:00,O2.5,PASS,40,54,8252540,1-0,L
2025-12-18,Europe UEFA Europa Conference League,Crystal Palace vs KuPS,20:00,BTTS,PASS,35,32,8252542,2-2,W
2025-12-18,Europe UEFA Europa Conference League,Dynamo Kyiv vs Artsakh,20:00,O2.5,PASS,53,59,8252544,2-0,L
2025-12-18,Europe UEFA Europa Conference League,Zrinjski vs Rapid Wien,20:00,O2.5,MEDIUM,38,62,8252565,1-1,L
2025-12-18,Europe UEFA Europa Conference League,Legia Warszawa vs Lincoln Red Imps,20:00,BTTS,STRONG,76,76,8252578,4-1,W
2025-12-18,Europe UEFA Europa Conference League,Celje vs Shelbourne,20:00,O2.5,PASS,29,48,8252585,0-0,L
2025-12-18,Europe UEFA Europa Conference League,Omonia Nicosia vs Raków Częstochowa,20:00,O2.5,PASS,32,36,8252591,0-1,L
2025-12-18,Europe UEFA Europa Conference League,Rayo Vallecano vs Drita,20:00,BTTS,PASS,50,50,8252594,3-0,L
2025-12-18,Europe UEFA Europa Conference League,Strasbourg vs Breidablik,20:00,BTTS,MEDIUM,64,64,8252598,3-1,W
